iter	Passed	Remaining
0	4	2082
1	8	2233
2	13	2297
3	18	2251
4	22	2257
5	28	2340
6	33	2345
7	38	2360
8	44	2403
9	49	2427
10	54	2416
11	60	2454
12	65	2444
13	69	2424
14	75	2446
15	80	2444
16	85	2424
17	91	2445
18	96	2438
19	101	2427
20	106	2430
21	111	2425
22	117	2434
23	122	2430
24	127	2431
25	133	2431
26	139	2442
27	145	2449
28	151	2462
29	158	2477
30	164	2481
31	173	2542
32	185	2627
33	192	2640
34	200	2658
35	206	2662
36	213	2676
37	222	2707
38	229	2711
39	237	2735
40	246	2754
41	251	2747
42	258	2748
43	264	2737
44	270	2735
45	279	2759
46	285	2750
47	292	2749
48	298	2744
49	306	2755
50	313	2760
51	321	2766
52	329	2776
53	336	2777
54	343	2781
55	351	2789
56	358	2787
57	366	2792
58	373	2788
59	380	2788
60	387	2788
61	393	2778
62	400	2780
63	408	2783
64	416	2784
65	424	2790
66	432	2795
67	439	2790
68	446	2789
69	453	2783
70	461	2785
71	467	2780
72	476	2785
73	482	2779
74	490	2777
75	498	2779
76	506	2780
77	514	2784
78	521	2778
79	528	2773
80	535	2770
81	545	2778
82	553	2778
83	560	2774
84	568	2773
85	574	2766
86	582	2762
87	589	2761
88	596	2756
89	604	2752
90	610	2744
91	618	2743
92	625	2737
93	634	2738
94	640	2730
95	647	2725
96	654	2720
97	661	2714
98	668	2708
99	677	2709
100	684	2704
101	692	2700
102	699	2694
103	706	2691
104	714	2687
105	721	2682
106	729	2678
107	737	2675
108	744	2670
109	753	2672
110	761	2669
111	769	2665
112	776	2658
113	785	2661
114	793	2656
115	802	2656
116	810	2653
117	817	2645
118	824	2638
119	831	2633
120	839	2629
121	846	2622
122	853	2616
123	861	2612
124	868	2606
125	876	2602
126	885	2599
127	893	2595
128	901	2591
129	909	2587
130	918	2587
131	925	2580
132	933	2577
133	941	2572
134	950	2569
135	958	2564
136	965	2557
137	971	2548
138	979	2542
139	985	2533
140	993	2529
141	1003	2529
142	1011	2524
143	1017	2516
144	1024	2508
145	1032	2502
146	1039	2496
147	1047	2490
148	1054	2483
149	1060	2475
150	1068	2470
151	1076	2463
152	1082	2455
153	1090	2449
154	1097	2441
155	1106	2439
156	1113	2432
157	1121	2426
158	1128	2420
159	1135	2413
160	1142	2406
161	1149	2398
162	1155	2389
163	1162	2382
164	1169	2375
165	1177	2369
